         rBB           TC       retneg
  0.01156582   0.10888000  25.56133502 
  0.01158584   0.10864000  25.60557056 
  0.01160585   0.10840000  25.64980610 
  0.01162587   0.10816000  25.69404163 
  0.01164588   0.10792000  25.73827717 
  0.01166590   0.10768000  25.78251271 
  0.01168591   0.10744000  25.82674825 
  0.01170593   0.10720000  25.87098378 
  0.01172594   0.10696000  25.91521932 
  0.01174596   0.10672000  25.95945486 
  0.01176597   0.10648000  26.00369039 
  0.01178599   0.10624000  26.04792593 
  0.01180600   0.10600000  26.09216147 
  0.01182602   0.10576000  26.13639701 
  0.01184604   0.10552000  26.18063254 
  0.01186605   0.10528000  26.22486808 
  0.01188607   0.10504000  26.26910362 
  0.01190608   0.10480000  26.31333915 
  0.01192610   0.10456000  26.35757469 
  0.01194611   0.10432000  26.40181023 
  0.01196613   0.10416000  26.44604577 
  0.01198614   0.10392000  26.49028130 
  0.01200616   0.10368000  26.53451684 
  0.01202617   0.10344000  26.57875238 
  0.01204619   0.10320000  26.62298792 
  0.01206620   0.10296000  26.66722345 
  0.01208622   0.10272000  26.71145899 
  0.01210624   0.10256000  26.75569453 
  0.01212625   0.10232000  26.79993006 
  0.01214627   0.10208000  26.84416560 
  0.01216628   0.10184000  26.88840114 
  0.01218630   0.10160000  26.93263668 
  0.01220631   0.10136000  26.97687221 
  0.01222633   0.10120000  27.02110775 
  0.01224634   0.10096000  27.06534329 
  0.01226636   0.10072000  27.10957882 
  0.01228637   0.10048000  27.15381436 
  0.01230639   0.10032000  27.19804990 
  0.01232640   0.10008000  27.24228544 
  0.01234642   0.09984000  27.28652097 
  0.01236644   0.09960000  27.33075651 
  0.01238645   0.09936000  27.37499205 
  0.01240647   0.09920000  27.41922758 
  0.01242648   0.09896000  27.46346312 
  0.01244650   0.09872000  27.50769866 
  0.01246651   0.09856000  27.55193420 
  0.01248653   0.09832000  27.59616973 
  0.01250654   0.09808000  27.64040527 
  0.01252656   0.09784000  27.68464081 
  0.01254657   0.09768000  27.72887634 
  0.01256659   0.09744000  27.77311188 
  0.01258661   0.09720000  27.81734742 
  0.01260662   0.09704000  27.86158296 
  0.01262664   0.09680000  27.90581849 
  0.01264665   0.09656000  27.95005403 
  0.01266667   0.09640000  27.99428957 
  0.01268668   0.09616000  28.03852510 
  0.01270670   0.09592000  28.08276064 
  0.01272671   0.09576000  28.12699618 
  0.01274673   0.09552000  28.17123172 
  0.01276674   0.09536000  28.21546725 
  0.01278676   0.09512000  28.25970279 
  0.01280677   0.09488000  28.30393833 
  0.01282679   0.09472000  28.34817387 
  0.01284681   0.09448000  28.39240940 
  0.01286682   0.09432000  28.43664494 
  0.01288684   0.09408000  28.48088048 
  0.01290685   0.09384000  28.52511601 
  0.01292687   0.09368000  28.56935155 
  0.01294688   0.09344000  28.61358709 
  0.01296690   0.09328000  28.65782263 
  0.01298691   0.09304000  28.70205816 
  0.01300693   0.09288000  28.74629370 
  0.01302694   0.09264000  28.79052924 
  0.01304696   0.09248000  28.83476477 
  0.01306697   0.09224000  28.87900031 
  0.01308699   0.09200000  28.92323585 
  0.01310701   0.09184000  28.96747139 
  0.01312702   0.09160000  29.01170692 
  0.01314704   0.09144000  29.05594246 
  0.01316705   0.09120000  29.10017800 
  0.01318707   0.09104000  29.14441353 
  0.01320708   0.09088000  29.18864907 
  0.01322710   0.09064000  29.23288461 
  0.01324711   0.09048000  29.27712015 
  0.01326713   0.09024000  29.32135568 
  0.01328714   0.09008000  29.36559122 
  0.01330716   0.08984000  29.40982676 
  0.01332717   0.08968000  29.45406229 
  0.01334719   0.08944000  29.49829783 
  0.01336721   0.08928000  29.54253337 
  0.01338722   0.08904000  29.58676891 
  0.01340724   0.08888000  29.63100444 
  0.01342725   0.08872000  29.67523998 
  0.01344727   0.08848000  29.71947552 
  0.01346728   0.08832000  29.76371105 
  0.01348730   0.08808000  29.80794659 
  0.01350731   0.08792000  29.85218213 
  0.01352733   0.08776000  29.89641767 
  0.01354734   0.08752000  29.94065320 
  0.01356736   0.08736000  29.98488874 
  0.01358737   0.08712000  30.02912428 
  0.01360739   0.08696000  30.07335982 
  0.01362741   0.08680000  30.11759535 
  0.01364742   0.08656000  30.16183089 
  0.01366744   0.08640000  30.20606643 
  0.01368745   0.08624000  30.25030196 
  0.01370747   0.08600000  30.29453750 
  0.01372748   0.08584000  30.33877304 
  0.01374750   0.08568000  30.38300858 
  0.01376751   0.08544000  30.42724411 
  0.01378753   0.08528000  30.47147965 
  0.01380754   0.08512000  30.51571519 
  0.01382756   0.08488000  30.55995072 
  0.01384758   0.08472000  30.60418626 
  0.01386759   0.08456000  30.64842180 
  0.01388761   0.08440000  30.69265734 
  0.01390762   0.08416000  30.73689287 
  0.01392764   0.08400000  30.78112841 
  0.01394765   0.08384000  30.82536395 
  0.01396767   0.08368000  30.86959948 
  0.01398768   0.08344000  30.91383502 
  0.01400770   0.08328000  30.95807056 
  0.01402771   0.08312000  31.00230610 
  0.01404773   0.08296000  31.04654163 
  0.01406774   0.08272000  31.09077717 
  0.01408776   0.08256000  31.13501271 
  0.01410778   0.08240000  31.17924824 
  0.01412779   0.08224000  31.22348378 
  0.01414781   0.08200000  31.26771932 
  0.01416782   0.08184000  31.31195486 
  0.01418784   0.08168000  31.35619039 
  0.01420785   0.08152000  31.40042593 
  0.01422787   0.08136000  31.44466147 
  0.01424788   0.08112000  31.48889701 
  0.01426790   0.08096000  31.53313254 
  0.01428791   0.08080000  31.57736808 
  0.01430793   0.08064000  31.62160362 
  0.01432794   0.08048000  31.66583915 
  0.01434796   0.08032000  31.71007469 
  0.01436798   0.08008000  31.75431023 
  0.01438799   0.07992000  31.79854577 
  0.01440801   0.07976000  31.84278130 
  0.01442802   0.07960000  31.88701684 
  0.01444804   0.07944000  31.93125238 
  0.01446805   0.07928000  31.97548791 
  0.01448807   0.07912000  32.01972345 
  0.01450808   0.07896000  32.06395899 
  0.01452810   0.07872000  32.10819453 
  0.01454811   0.07856000  32.15243006 
  0.01456813   0.07840000  32.19666560 
  0.01458814   0.07824000  32.24090114 
  0.01460816   0.07808000  32.28513667 
  0.01462818   0.07792000  32.32937221 
  0.01464819   0.07776000  32.37360775 
  0.01466821   0.07760000  32.41784329 
  0.01468822   0.07744000  32.46207882 
  0.01470824   0.07728000  32.50631436 
  0.01472825   0.07712000  32.55054990 
  0.01474827   0.07696000  32.59478543 
  0.01476828   0.07680000  32.63902097 
  0.01478830   0.07656000  32.68325651 
  0.01480831   0.07640000  32.72749205 
  0.01482833   0.07624000  32.77172758 
  0.01484834   0.07608000  32.81596312 
  0.01486836   0.07592000  32.86019866 
  0.01488838   0.07576000  32.90443419 
  0.01490839   0.07560000  32.94866973 
  0.01492841   0.07544000  32.99290527 
  0.01494842   0.07528000  33.03714081 
  0.01496844   0.07512000  33.08137634 
  0.01498845   0.07496000  33.12561188 
  0.01500847   0.07480000  33.16984742 
  0.01502848   0.07464000  33.21408296 
  0.01504850   0.07448000  33.25831849 
  0.01506851   0.07432000  33.30255403 
  0.01508853   0.07416000  33.34678957 
  0.01510855   0.07408000  33.39102510 
  0.01512856   0.07392000  33.43526064 
  0.01514858   0.07376000  33.47949618 
  0.01516859   0.07360000  33.52373172 
  0.01518861   0.07344000  33.56796725 
  0.01520862   0.07328000  33.61220279 
  0.01522864   0.07312000  33.65643833 
  0.01524865   0.07296000  33.70067386 
  0.01526867   0.07280000  33.74490940 
  0.01528868   0.07264000  33.78914494 
  0.01530870   0.07248000  33.83338048 
  0.01532871   0.07232000  33.87761601 
  0.01534873   0.07216000  33.92185155 
  0.01536875   0.07200000  33.96608709 
  0.01538876   0.07192000  34.01032262 
  0.01540878   0.07176000  34.05455816 
  0.01542879   0.07160000  34.09879370 
  0.01544881   0.07144000  34.14302924 
  0.01546882   0.07128000  34.18726477 
  0.01548884   0.07112000  34.23150031 
  0.01550885   0.07096000  34.27573585 
  0.01552887   0.07080000  34.31997138 
  0.01554888   0.07072000  34.36420692 
  0.01556890   0.07056000  34.40844246 
  0.01558891   0.07040000  34.45267800 
  0.01560893   0.07024000  34.49691353 
  0.01562895   0.07008000  34.54114907 
  0.01564896   0.06992000  34.58538461 
  0.01566898   0.06984000  34.62962014 
  0.01568899   0.06968000  34.67385568 
  0.01570901   0.06952000  34.71809122 
  0.01572902   0.06936000  34.76232676 
  0.01574904   0.06920000  34.80656229 
  0.01576905   0.06912000  34.85079783 
  0.01578907   0.06896000  34.89503337 
  0.01580908   0.06880000  34.93926891 
  0.01582910   0.06864000  34.98350444 
  0.01584911   0.06848000  35.02773998 
  0.01586913   0.06840000  35.07197552 
  0.01588915   0.06824000  35.11621105 
  0.01590916   0.06808000  35.16044659 
  0.01592918   0.06792000  35.20468213 
  0.01594919   0.06784000  35.24891767 
  0.01596921   0.06768000  35.29315320 
  0.01598922   0.06752000  35.33738874 
  0.01600924   0.06736000  35.38162428 
  0.01602925   0.06728000  35.42585981 
  0.01604927   0.06712000  35.47009535 
  0.01606928   0.06696000  35.51433089 
  0.01608930   0.06680000  35.55856643 
  0.01610931   0.06672000  35.60280196 
  0.01612933   0.06656000  35.64703750 
  0.01614935   0.06640000  35.69127304 
  0.01616936   0.06624000  35.73550857 
  0.01618938   0.06616000  35.77974411 
  0.01620939   0.06600000  35.82397965 
  0.01622941   0.06584000  35.86821519 
  0.01624942   0.06576000  35.91245072 
  0.01626944   0.06560000  35.95668626 
  0.01628945   0.06544000  36.00092180 
  0.01630947   0.06536000  36.04515733 
  0.01632948   0.06520000  36.08939287 
  0.01634950   0.06504000  36.13362841 
  0.01636952   0.06496000  36.17786395 
  0.01638953   0.06480000  36.22209948 
  0.01640955   0.06464000  36.26633502 
  0.01642956   0.06456000  36.31057056 
  0.01644958   0.06440000  36.35480609 
  0.01646959   0.06424000  36.39904163 
  0.01648961   0.06416000  36.44327717 
  0.01650962   0.06400000  36.48751271 
  0.01652964   0.06384000  36.53174824 
  0.01654965   0.06376000  36.57598378 
  0.01656967   0.06360000  36.62021932 
  0.01658968   0.06352000  36.66445486 
  0.01660970   0.06336000  36.70869039 
  0.01662972   0.06320000  36.75292593 
  0.01664973   0.06312000  36.79716147 
  0.01666975   0.06296000  36.84139700 
  0.01668976   0.06288000  36.88563254 
  0.01670978   0.06272000  36.92986808 
  0.01672979   0.06256000  36.97410362 
  0.01674981   0.06248000  37.01833915 
  0.01676982   0.06232000  37.06257469 
  0.01678984   0.06224000  37.10681023 
  0.01680985   0.06208000  37.15104576 
  0.01682987   0.06200000  37.19528130 
  0.01684988   0.06184000  37.23951684 
  0.01686990   0.06168000  37.28375238 
  0.01688992   0.06160000  37.32798791 
  0.01690993   0.06144000  37.37222345 
  0.01692995   0.06136000  37.41645899 
  0.01694996   0.06120000  37.46069452 
  0.01696998   0.06112000  37.50493006 
  0.01698999   0.06096000  37.54916560 
  0.01701001   0.06088000  37.59340114 
  0.01703002   0.06072000  37.63763667 
  0.01705004   0.06064000  37.68187221 
  0.01707005   0.06048000  37.72610775 
  0.01709007   0.06040000  37.77034328 
  0.01711008   0.06024000  37.81457882 
  0.01713010   0.06016000  37.85881436 
  0.01715012   0.06000000  37.90304990 
  0.01717013   0.05992000  37.94728543 
  0.01719015   0.05976000  37.99152097 
  0.01721016   0.05968000  38.03575651 
  0.01723018   0.05952000  38.07999204 
  0.01725019   0.05944000  38.12422758 
  0.01727021   0.05928000  38.16846312 
  0.01729022   0.05920000  38.21269866 
  0.01731024   0.05904000  38.25693419 
  0.01733025   0.05896000  38.30116973 
  0.01735027   0.05880000  38.34540527 
  0.01737028   0.05872000  38.38964081 
  0.01739030   0.05856000  38.43387634 
  0.01741032   0.05848000  38.47811188 
  0.01743033   0.05832000  38.52234742 
  0.01745035   0.05824000  38.56658295 
  0.01747036   0.05816000  38.61081849 
  0.01749038   0.05800000  38.65505403 
  0.01751039   0.05792000  38.69928957 
  0.01753041   0.05776000  38.74352510 
  0.01755042   0.05768000  38.78776064 
  0.01757044   0.05752000  38.83199618 
  0.01759045   0.05744000  38.87623171 
  0.01761047   0.05736000  38.92046725 
  0.01763048   0.05720000  38.96470279 
  0.01765050   0.05712000  39.00893833 
  0.01767052   0.05696000  39.05317386 
  0.01769053   0.05688000  39.09740940 
  0.01771055   0.05680000  39.14164494 
  0.01773056   0.05664000  39.18588047 
  0.01775058   0.05656000  39.23011601 
  0.01777059   0.05648000  39.27435155 
  0.01779061   0.05632000  39.31858709 
  0.01781062   0.05624000  39.36282262 
  0.01783064   0.05608000  39.40705816 
  0.01785065   0.05600000  39.45129370 
  0.01787067   0.05592000  39.49552923 
  0.01789069   0.05576000  39.53976477 
  0.01791070   0.05568000  39.58400031 
  0.01793072   0.05560000  39.62823585 
